genes_in_mod	GF_104w_M_1_2	GF_104w_M_2_2	GF_104w_M_3_2	GF_104w_M_4_2	GF_104w_M_5_2	GF_8w_M_1_2	GF_8w_M_3_2	GF_8w_M_4_2	SPF_104w_M_1_2	SPF_104w_M_10_2	SPF_104w_M_11_2	SPF_104w_M_12_2	SPF_104w_M_13_2	SPF_104w_M_14_2	SPF_104w_M_2_2	SPF_104w_M_4_2	SPF_104w_M_5_2	SPF_104w_M_6_2	SPF_104w_M_7_2	SPF_104w_M_8_2	SPF_104w_M_9_2	SPF_8w_M_2_2	SPF_8w_M_3_2	SPF_8w_M_4_2
Pde8a	ME0	-0.224500956214089	0.855693299340305	-0.0842591517516686	-0.163135644615327	0.802895811827881	0.058404511557922	-0.21316930176512	-0.861522264591028	0.126531073257458	0.145985669997675	-0.240886470172243	-1.08046322315485	-0.88702795665695	0.219378111672018	0.428686385910087	-0.108236032581816	2.23658457134832	-1.00641456368401	2.52334317143105	-1.53912324499836	-0.620711785886424	1.09793778402641	-0.0125353094001551	-1.45345448489707
Pkd2	ME0	-0.217542016272494	0.0251932214299414	-0.144640248067109	-0.329420241631179	0.124518904247979	0.148191141906274	0.820324848702868	0.0473901116118923	-2.11291410094894	-1.75989013597635	-0.756522084989948	-1.08897286697926	-0.13637948670986	-0.921242461224246	2.87603125215548	0.169267860591111	0.000256453399784237	1.02174265257388	0.898781501670321	-0.537174196267085	0.242722363820121	0.333225311185662	0.163135101459072	1.13391711431209
Plekha1	ME0	-0.221226139396792	0.115605763822057	0.337709249047006	-0.569832240077172	-0.376622558051225	0.0754481962454003	0.192010409184481	-0.0279388511661157	-1.83810871494496	-0.363284683663439	-0.429637634700675	1.45667041505536	0.504278171202504	2.84732520639704	-0.761206985322305	-1.88292842686294	0.130747914415334	0.677805511455233	-0.527076032855296	-0.865193760367353	1.44939236099225	0.524446606547617	-0.348794858298454	-0.0995889186575566
Ptger4	ME0	-0.156151000252361	-0.0536030589345509	-0.369797259554677	0.0185259257646902	-0.514813229056175	-0.64673190248846	-0.660468626640513	-0.701729254031131	1.32585771700509	-0.299680080688082	-0.0863074501501562	-0.0569478552726304	-0.299461945122745	0.274134563466961	-0.326964165478155	-0.148797004460102	-0.282624062951923	4.13992347570432	0.286937130992594	0.674635057255954	-0.16069922678721	-0.701729254031131	-0.701729254031131	-0.551779240258472
Rab27a	ME0	-1.03089498369525	-1.38080280258968	1.88273798731377	0.668333539328618	-1.83745223846827	-0.430179243447413	0.161101249987485	1.08278516805536	1.62098772197179	-1.1666897153152	1.17957420505873	0.00105832749425418	-0.377278697982642	-0.188405656536061	0.343889805762951	-0.21647670503354	-0.469794732096213	0.214805198587124	1.16306406940235	0.0355120610544237	0.130634808044646	0.605312832728306	-1.88149273466504	-0.110329464960509
Ripk1	ME0	0.719648502626324	-0.822032231830239	0.595196901590506	0.739304230532207	0.866982914299605	-1.25613096358231	0.648623679829432	1.18611947755364	-2.54318011014432	-1.68238070800955	0.595226230203093	-0.75166861997869	0.869046729743291	1.04713519060954	1.04777089212045	0.376819054629407	-0.485377369354179	0.129269942402911	-0.898571363087602	-1.05147932513206	-0.345475178528799	0.955080429254179	0.376968556922407	-0.316896862669239
Setx	ME0	-0.168435140154538	0.0562567246915118	0.665633766462874	-0.578883047825273	-0.792226836356449	2.7946624131537	0.136102364233666	-0.487072435939937	-0.534009852031131	-0.871498273652362	-0.508517887222066	-1.52733671461416	-1.28619433879363	-0.208015121718852	0.632937967985264	-0.666955397227079	0.94898767796208	1.21068417746052	-1.28660707633513	1.18610037688491	0.370829915941268	0.547850794886487	1.01492416037863	-0.649218218170307
Slc1a2	ME0	-0.652812544173401	-0.565975181703904	1.08743423411306	-0.652812544173401	-0.0711589866223947	-0.404120093061193	0.280069337624043	-0.416372418654543	-0.652812544173401	-0.652812544173401	3.3864659949208	-0.652812544173401	-0.337832109288138	0.560316611589124	-0.509350130826839	-0.146421940197449	-0.601243803804596	-0.652812544173401	1.62091970376332	-0.52161296669567	1.42930061646615	-0.652812544173401	-0.652812544173401	0.432081485765432
Smad3	ME0	-2.72692315770657	-1.93909096288962	0.53067482115819	-0.0469575069195677	-1.43274136166622	-0.0666731251145992	-0.260413667743671	1.17282193155632	0.264622053000064	0.349639431122484	-0.350944865864343	-0.333080569749942	-0.147134330965347	-0.277322958575588	1.48138161175143	1.65941981873889	0.832123392234934	0.273988372202665	0.604338067521633	0.36585304205539	-0.185774865032253	0.752280207010174	-0.781637395323289	0.261552019198845
Sod2	ME0	2.74257586068507	-0.220806103241544	1.36277629910317	-0.803828169025731	-1.03996432849773	-1.2563974929989	0.200483374313963	-0.0616800358952186	-0.363674708378714	0.0752066209003613	1.05883309276773	-0.169754919124186	-0.0935465375541253	0.11457386406966	0.775881964902392	-0.479348041827589	1.44609905857288	-0.500144820269495	0.981773706916289	-0.427608638049012	0.0915396383199091	-0.485323702715593	-1.42747711493642	-1.52018886803717
Ticam1	ME0	-1.6067495884504	-1.52952910515865	0.30224970796337	-0.394695744670683	-0.173133548868024	1.3067981482336	-0.763747744969037	0.181220298846464	-0.607339335727696	0.0142203359834268	1.30770885132124	0.988827536631696	1.62785787051521	2.31073821710004	-1.37264487089452	0.18219224043193	0.263586704039641	-1.36497671392442	0.239724168873187	-0.251919253013084	-0.473483714416842	-0.00892073276300955	-0.42103629473333	0.243052567649905
Tusc2	ME0	0.434454890926594	0.760497945336197	-1.29899514198479	0.830578558423846	-0.307835819584229	-0.886147898772773	-0.291883499868481	-0.0543829970130746	-0.901690488288585	0.272222172438715	1.64207455172042	0.437593455046576	2.32264826945176	1.05958526547024	-2.43533339688714	-0.645213888775341	-0.215084070074049	-1.05708777637619	-0.00368364817361246	0.171759558215328	-0.0615219905320101	0.596885491722878	0.374898135817847	-0.744337678240137
Ulbp1	ME0	1.1529023544315	0.431900900305645	-0.033299610087307	0.0188983829527386	-1.03202024438994	-0.496806749915849	-0.139724971153304	-0.862405196772025	-1.03202024438994	-0.899530390208861	-0.964632868661613	-0.883943087378079	-0.760871235255205	0.708504626926229	1.90107516192552	-0.910930438929101	-0.329136787755545	2.0721677598391	2.00977436153178	-0.279071140425403	0.312260680438288	1.06320804099572	-0.489888752361108	-0.55641055166324
Xdh	ME0	0.362193277712645	1.56777796963875	1.42068863583516	1.50981103263518	1.23843403109365	-0.87852134106115	-1.09835465381743	-0.586684086948027	-0.728213411684995	-0.174333270271834	-0.175430615169985	1.08039527902039	-0.586779014981504	0.283190657960993	-0.970000157690638	-0.422698918798251	-0.0119963917952053	1.86851131360704	-0.84348033959557	0.972030274449576	-0.648227167737055	-0.947183756329091	-1.11556467303632	-1.11556467303632
Adam9	ME1	0.246129166206515	-0.591205401305172	-0.34691614136566	-1.11863742798105	-1.31732799908957	-1.10133536539847	-1.13968114646195	0.0164331849843145	1.07732034797076	0.423615219937668	2.26812163069646	0.47086380211907	-0.803051446371842	-0.998175279140627	0.505175112923861	-0.649543247119485	0.735795059748262	0.891562885787693	0.641235721887444	0.72321104146683	2.0243335303413	-0.509524549770681	-1.0911338808508	-0.357264819214875
Anxa1	ME1	-0.536992354965726	-0.477617815873795	-0.542449764593541	-0.542449764593541	-0.542449764593541	-0.542449764593541	-0.542449764593541	-0.542449764593541	-0.383600554975945	1.7271626970822	1.83363100792285	-0.28354705017227	0.189372500436491	-0.0859715783611595	-0.540307611133143	-0.108933617280496	1.25630438662065	3.30558995855185	-0.393799714717201	-0.131049867634198	-0.492706216491022	-0.542449764593541	-0.537936052260763	-0.542449764593541
