Symbols,Genes ,fold d/h,GF_1,GF_2,GF_3,GF_4,GF_5,GF_7,GF_8,SPF_1,SPF_2,SPF_3,SPF_4,SPF_6,SPF_7,SPF_8,t-test
AP2A1,NM_001077264,1.53919239904988,101,92,99,94,92,80,90,66,88,49,66,60,51,41,0.000262107814398
RPL13,NM_016738,1.53716216216216,408,418,412,437,532,489,489,275,275,399,321,280,272,250,5.80184292146937E-05
H2-DMB1,NM_010387,1.53530598520511,296,349,388,316,400,273,261,184,177,285,251,221,254,115,0.002619959432193
SLC35E3,NM_029875,1.53488372093023,55,37,44,30,49,52,63,32,34,34,29,28,33,25,0.002916401576813
RBM47,NM_139065,1.53333333333333,71,47,84,61,38,54,82,38,34,50,37,45,48,33,0.009875176149793
MMP14,NM_008608,1.53201219512195,138,162,156,97,133,165,154,89,90,83,78,101,98,117,0.000378950102007
RPL23A,NM_207523,1.52772073921971,111,102,104,80,123,130,94,66,85,61,69,85,66,55,0.000478222426224
UQCRQ,NM_025352,1.52601156069364,221,305,206,224,270,342,280,168,177,142,191,155,174,204,0.000778643482649
RPS5,NM_009095,1.52356979405034,963,1050,969,782,1148,810,936,489,561,962,670,671,649,368,0.002362384708909
COX6B1,NM_025628,1.51497005988024,133,112,110,136,158,177,186,92,80,130,69,96,88,113,0.003790575301439
VAV1,NM_001163815,1.51193981027151,587,636,647,705,835,665,547,448,474,501,495,435,375,329,0.000202240023939
VAV1,NM_001163816,1.51013071895425,588,637,647,704,835,663,547,446,478,500,493,436,374,333,0.000194093150307
NOP58,NM_018868,1.50842696629213,81,72,86,68,73,71,86,38,43,42,64,63,49,57,0.000190479027422
PPTC7,NM_177242,1.50511247443763,103,100,79,135,145,94,80,80,79,49,53,68,93,67,0.009006813675427
IER3IP1,NM_025409,1.50422102839601,301,246,239,230,290,365,289,198,142,196,200,182,178,207,0.000436020864413
TMEM11,NM_001168507,1.50406504065041,119,107,87,109,101,123,94,51,64,68,90,70,89,60,0.000411309892687
MIR684-1,NR_030454,1.5,5,6,5,7,7,6,6,2,4,5,5,5,3,4,0.002813448275788
